ID,Author,Birth Year,Death Year
472,岡村 柿紅,1881,1925,"Okamura, Shiko"
473,小川 琢治,1870,1941,"Ogawa, Takuji"
474,小川 正子,1902,1943,"Ogawa, Masako"
475,荻原 碌山　→荻原守衛,1879,1910,"Ogiwara, Rokuzan"
476,奥 好義,1858,1933,"Oku, Yoshiisa"
477,小倉 進平,1882,1944,"Ogura, Shinpei"
478,尾佐竹 猛,1880,1946,"Osatake, Takeshi"
479,小山内 薫,1881,1928,"Osanai, Kaoru"
480,織田 正信,1903,1945,"Oda, Masanobu"
481,落合 直文,1861,1903,"Ochiai, Naobumi"
482,落合 三東里,N/A,1932,"Ochiai,"
483,乙骨 三郎,1881,1934,"Okkotsu, Saburo"
484,小野 湖山,1814,1910,"Ono, Kozan"
485,小野 竹三,1878,1945,"Ono, Takezo"
486,小野 政方,1885,1945,"Ono, Masakata"
487,小幡 篤次郎,1842,1905,"Obata, Tokujiro"
488,小柳 司気太,1870,1940,"Oyanagi, Shigeta"
489,貝塚 正治郎,N/A,1934,"Kaiduka,"
490,笠原 哲夫,1922,1945,"Kasahara,"
491,片岡 鉄兵,1894,1944,"Kataoka, Teppei"
492,片上 伸,1884,1928,"Katagami, Noburu"
493,加藤 朝鳥,1886,1938,"Kato, Asatori"
494,加藤 孤童,N/A,1946,"Kato,"
495,加藤 壽太郎,1885,1946,"Kato,"
496,加藤 義清,N/A,1941,"Kato,"
497,仮名垣 魯文,1829,1894,"Kanagaki, Robun"
498,金谷 完治,1901,1946,"Kanaya, Kanji"
499,金子 筑水,1870,1937,"Kaneko, Chikusui"
500,金子 みすゞ,1903,1930,"Kaneko, Misuzu"
501,金子 元臣,1868,1944,"Kaneko, Motoomi"
502,亀尾 英四郎,1898,1945,"Kameo, Eishiro"
503,亀高 徳平,1872,1935,"Kametaka, Tokuhei"
504,亀屋原 徳,1898,1942,"Kameyabara, Toku"
505,鹿山 映二郎,1907,1936,"Kayama,"
506,河合 栄治郎,1891,1944,"Kawai, Eijiro"
507,川上 眉山,1869,1908,"Kawakami, Bizan"
508,河竹 黙阿弥,1816,1893,"Kawatake, Mokuami"
509,河津 暹,1875,1943,"Kawazu, Sen"
510,河東 碧梧桐,1873,1937,"Kawahigashi, Hekigoto"
511,河村 光陽,1897,1946,"Kawamura,"
512,簡野 道明,1865,1938,"Kanno, Domei"
